"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","LTE RRC DL_SCH","80","SystemInformationBlockType1"
"2","686.128925","127.0.0.1","127.0.0.1","LTE RRC DL_SCH","84","SystemInformationBlockType1"
"3","686.129200","127.0.0.1","127.0.0.1","LTE RRC DL_SCH","99","SystemInformation [ SIB2 ]"
"4","686.129200","127.0.0.1","127.0.0.1","LTE RRC DL_SCH","65","SystemInformation [ SIB3 ]"
"5","686.129200","127.0.0.1","127.0.0.1","LTE RRC DL_SCH","99","SystemInformation [ SIB5 ]"
"6","686.448850","127.0.0.1","127.0.0.1","LTE RRC DL_SCH","84","SystemInformationBlockType1"
"7","686.948800","127.0.0.1","127.0.0.1","LTE RRC DL_SCH","80","SystemInformationBlockType1"
"8","687.169000","127.0.0.1","127.0.0.1","LTE RRC DL_SCH","80","SystemInformationBlockType1"
"9","687.788925","127.0.0.1","127.0.0.1","LTE RRC DL_SCH","80","SystemInformationBlockType1"
"10","688.768850","127.0.0.1","127.0.0.1","LTE RRC DL_SCH","84","SystemInformationBlockType1"
"11","689.508850","127.0.0.1","127.0.0.1","LTE RRC DL_SCH","86","SystemInformationBlockType1"
"12","689.718800","127.0.0.1","127.0.0.1","LTE RRC DL_SCH","80","SystemInformationBlockType1"
"13","690.228825","127.0.0.1","127.0.0.1","LTE RRC DL_SCH","86","SystemInformationBlockType1"
"14","690.408825","127.0.0.1","127.0.0.1","LTE RRC DL_SCH","86","SystemInformationBlockType1"
"15","690.588675","127.0.0.1","127.0.0.1","LTE RRC DL_SCH","84","SystemInformationBlockType1"
"16","690.708950","127.0.0.1","127.0.0.1","LTE RRC DL_SCH","84","SystemInformationBlockType1"
"17","690.948925","127.0.0.1","127.0.0.1","LTE RRC DL_SCH","84","SystemInformationBlockType1"
"18","691.138850","127.0.0.1","127.0.0.1","LTE RRC DL_SCH","80","SystemInformationBlockType1"
"19","691.498950","127.0.0.1","127.0.0.1","LTE RRC DL_SCH","80","SystemInformationBlockType1"
"20","692.160823","127.0.0.1","127.0.0.1","RRC","89","SystemInformation-BCH"
"21","692.180748","127.0.0.1","127.0.0.1","RRC","89","SystemInformation-BCH (MasterInformationBlock)"
"22","692.200773","127.0.0.1","127.0.0.1","RRC","89","SystemInformation-BCH (SysInfoType 7)"
"23","692.220748","127.0.0.1","127.0.0.1","RRC","89","SystemInformation-BCH"
"24","692.340849","127.0.0.1","127.0.0.1","RRC","89","SystemInformation-BCH (MasterInformationBlock)"
"25","692.360823","127.0.0.1","127.0.0.1","RRC","89","SystemInformation-BCH (SysInfoType 7)"
"26","692.380799","127.0.0.1","127.0.0.1","RRC","89","SystemInformation-BCH (Scheduling Block 1)"
"27","692.400774","127.0.0.1","127.0.0.1","RRC","89","SystemInformation-BCH"
"28","692.420774","127.0.0.1","127.0.0.1","RRC","89","SystemInformation-BCH (MasterInformationBlock)"
"29","692.440749","127.0.0.1","127.0.0.1","RRC","89","SystemInformation-BCH"
"30","692.460799","127.0.0.1","127.0.0.1","RRC","89","SystemInformation-BCH"
"31","692.480774","127.0.0.1","127.0.0.1","RRC","89","SystemInformation-BCH"
"32","692.540924","127.0.0.1","127.0.0.1","RRC","89","SystemInformation-BCH"
"33","692.560799","127.0.0.1","127.0.0.1","RRC","89","SystemInformation-BCH"
"34","692.580774","127.0.0.1","127.0.0.1","RRC","89","SystemInformation-BCH (MasterInformationBlock)"
"35","692.600749","127.0.0.1","127.0.0.1","RRC","89","SystemInformation-BCH (SysInfoType 1(cs-domain)(ps-domain))"
"36","693.038563","127.0.0.1","127.0.0.1","RRC","89","SystemInformation-BCH (SysInfoType 1(cs-domain)(ps-domain))"
"37","693.058638","127.0.0.1","127.0.0.1","RRC","89","SystemInformation-BCH"
"38","693.078514","127.0.0.1","127.0.0.1","RRC","89","SystemInformation-BCH (MasterInformationBlock)"
"39","700.128925","127.0.0.1","127.0.0.1","LTE RRC DL_SCH","80","SystemInformationBlockType1"
"40","700.468825","127.0.0.1","127.0.0.1","LTE RRC DL_SCH","84","SystemInformationBlockType1"
"41","700.628825","127.0.0.1","127.0.0.1","LTE RRC DL_SCH","84","SystemInformationBlockType1"
"42","700.629100","127.0.0.1","127.0.0.1","LTE RRC DL_SCH","99","SystemInformation [ SIB2 ]"
"43","700.629100","127.0.0.1","127.0.0.1","LTE RRC DL_SCH","65","SystemInformation [ SIB3 ]"
"44","700.888825","127.0.0.1","127.0.0.1","LTE RRC DL_SCH","80","SystemInformationBlockType1"
"45","701.128925","127.0.0.1","127.0.0.1","LTE RRC DL_SCH","80","SystemInformationBlockType1"
"46","701.388950","127.0.0.1","127.0.0.1","LTE RRC DL_SCH","80","SystemInformationBlockType1"
"47","702.008850","127.0.0.1","127.0.0.1","LTE RRC DL_SCH","84","SystemInformationBlockType1"
