packet_number,lte-rrc.HandoverCommand_element,lte_rrc.3gpp_tmsi,lte_rrc.e212_assoc_imsi,lte_rrc.e212_gummei_mcc,lte_rrc.e212_gummei_mnc,lte_rrc.e212_imsi,lte_rrc.e212_mcc,lte_rrc.e212_mnc,lte_rrc.gsm_a_dtap_autn,lte_rrc.gsm_a_dtap_autn_amf,lte_rrc.gsm_a_dtap_autn_mac,lte_rrc.gsm_a_dtap_autn_sqn_xor_ak,lte_rrc.gsm_a_dtap_rand,lte_rrc.gsm_a_id_dig_1,lte_rrc.gsm_a_ie_mobileid_type,lte_rrc.gsm_a_l3_protocol_discriminator,lte_rrc.gsm_a_len,lte_rrc.gsm_a_oddevenind,lte_rrc.lte_rrc_accumulationenabled,lte_rrc.lte_rrc_acknackrepetition,lte_rrc.lte_rrc_betaoffset_ack_index,lte_rrc.lte_rrc_betaoffset_cqi_index,lte_rrc.lte_rrc_betaoffset_ri_index,lte_rrc.lte_rrc_c1,lte_rrc.lte_rrc_cqi_reportconfig_element,lte_rrc.lte_rrc_criticalextensions,lte_rrc.lte_rrc_dedicatedinfonas,lte_rrc.lte_rrc_dedicatedinfotype,lte_rrc.lte_rrc_defaultvalue_element,lte_rrc.lte_rrc_deltamcs_enabled,lte_rrc.lte_rrc_dl_ccch_message_element,lte_rrc.lte_rrc_dl_ccch_message_message,lte_rrc.lte_rrc_dl_dcch_message_element,lte_rrc.lte_rrc_dl_dcch_message_message,lte_rrc.lte_rrc_dl_pathlosschange,lte_rrc.lte_rrc_dlinformationtransfer_element,lte_rrc.lte_rrc_dlinformationtransfer_r8_element,lte_rrc.lte_rrc_explicitvalue_element,lte_rrc.lte_rrc_logicalchannelconfig,lte_rrc.lte_rrc_mac_mainconfig,lte_rrc.lte_rrc_mac_mainconfig_phr_config_setup_element,lte_rrc.lte_rrc_maxharq_tx,lte_rrc.lte_rrc_mmec,lte_rrc.lte_rrc_mmegi,lte_rrc.lte_rrc_p0_ue_pucch,lte_rrc.lte_rrc_p0_ue_pusch,lte_rrc.lte_rrc_p_a,lte_rrc.lte_rrc_pdsch_configdedicated_element,lte_rrc.lte_rrc_periodicbsr_timer,lte_rrc.lte_rrc_periodicphr_timer,lte_rrc.lte_rrc_phr_config,lte_rrc.lte_rrc_physicalconfigdedicated_element,lte_rrc.lte_rrc_prohibitphr_timer,lte_rrc.lte_rrc_psrs_offset,lte_rrc.lte_rrc_pucch_configdedicated_element,lte_rrc.lte_rrc_pusch_configdedicated_element,lte_rrc.lte_rrc_radioresourceconfigdedicated_element,lte_rrc.lte_rrc_registeredmme_element,lte_rrc.lte_rrc_release_element,lte_rrc.lte_rrc_retxbsr_timer,lte_rrc.lte_rrc_rlc_config,lte_rrc.lte_rrc_rrc_transactionidentifier,lte_rrc.lte_rrc_rrcconnectionsetup_element,lte_rrc.lte_rrc_rrcconnectionsetup_r8_element,lte_rrc.lte_rrc_rrcconnectionsetupcomplete_element,lte_rrc.lte_rrc_rrcconnectionsetupcomplete_r8_element,lte_rrc.lte_rrc_selectedplmn_identity,lte_rrc.lte_rrc_srb_identity,lte_rrc.lte_rrc_srb_toaddmod_element,lte_rrc.lte_rrc_srb_toaddmodlist,lte_rrc.lte_rrc_timealignmenttimerdedicated,lte_rrc.lte_rrc_ttibundling,lte_rrc.lte_rrc_ul_dcch_message_element,lte_rrc.lte_rrc_ul_dcch_message_message,lte_rrc.lte_rrc_ul_sch_config_element,lte_rrc.lte_rrc_ulinformationtransfer_element,lte_rrc.lte_rrc_ulinformationtransfer_r8_element,lte_rrc.lte_rrc_uplinkpowercontroldedicated_element,lte_rrc.nas_eps_ciphered_msg,lte_rrc.nas_eps_emm_128eea1,lte_rrc.nas_eps_emm_128eea2,lte_rrc.nas_eps_emm_128eia1,lte_rrc.nas_eps_emm_128eia2,lte_rrc.nas_eps_emm_cause,lte_rrc.nas_eps_emm_eea0,lte_rrc.nas_eps_emm_eea3,lte_rrc.nas_eps_emm_eea4,lte_rrc.nas_eps_emm_eea5,lte_rrc.nas_eps_emm_eea6,lte_rrc.nas_eps_emm_eea7,lte_rrc.nas_eps_emm_eia0,lte_rrc.nas_eps_emm_eia3,lte_rrc.nas_eps_emm_eia4,lte_rrc.nas_eps_emm_eia5,lte_rrc.nas_eps_emm_eia6,lte_rrc.nas_eps_emm_eps_att_type,lte_rrc.nas_eps_emm_eps_upip,lte_rrc.nas_eps_emm_id_type2,lte_rrc.nas_eps_emm_m_tmsi,lte_rrc.nas_eps_emm_mme_code,lte_rrc.nas_eps_emm_mme_grp_id,lte_rrc.nas_eps_emm_nas_key_set_id,lte_rrc.nas_eps_emm_odd_even,lte_rrc.nas_eps_emm_res,lte_rrc.nas_eps_emm_spare_half_octet,lte_rrc.nas_eps_emm_toc,lte_rrc.nas_eps_emm_toi,lte_rrc.nas_eps_emm_tsc,lte_rrc.nas_eps_emm_type_of_id,lte_rrc.nas_eps_emm_uea0,lte_rrc.nas_eps_emm_uea1,lte_rrc.nas_eps_emm_uea2,lte_rrc.nas_eps_emm_uea3,lte_rrc.nas_eps_emm_uea4,lte_rrc.nas_eps_emm_uea5,lte_rrc.nas_eps_emm_uea6,lte_rrc.nas_eps_emm_uea7,lte_rrc.nas_eps_emm_uia1,lte_rrc.nas_eps_msg_auth_code,lte_rrc.nas_eps_nas_msg_emm_type,lte_rrc.nas_eps_security_header_type,lte_rrc.nas_eps_seq_no,lte_rrc.nas_eps_spare_bits,lte_rrc.per_choice_index,lte_rrc.per_enum_index,lte_rrc.per_extension_bit,lte_rrc.per_octet_string_length,lte_rrc.per_optional_field_bit,lte_rrc.per_sequence_of_length
111,Item 0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,0,6,6,6,3,cqi-ReportConfig,0,-1,-1,defaultValue: NULL,0,DL-CCCH-Message,0,-1,-1,1,-1,-1,explicitValue,1,0,setup,3,-1,-1,0,0,4,pdsch-ConfigDedicated,3,2,1,physicalConfigDedicated,0,3,pucch-ConfigDedicated,pusch-ConfigDedicated,radioResourceConfigDedicated,-1,release: NULL,0,1,0,rrcConnectionSetup,rrcConnectionSetup-r8,-1,-1,-1,1,SRB-ToAddMod,1,7,False,-1,-1,ul-SCH-Config,-1,-1,uplinkPowerControlDedicated,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,False,-1,False,1
112,EPS mobile identity,400080045,-1,001,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x07,11,-1,-1,-1,-1,-1,-1,4,-1,0,17:75:4f:d9:0f:0d:07:41:02:0b:f6:00:f1:10:00:01:1a:17:d8:bc:ad:04:f0:70:c0:40:00:2a:02:02:d0:31:d1:27:23:80:80:21:10:01:00:00:10:81:06:00:00:00:00:83:06:00:00:00:00:00:0d:00:00:03:00:00:0a:00:00:05:00:00:10:00:52:00:f1:10:00:07:5c:0a:00:31:03:e5:e0:34:13:00:f1:10:00:01:11:03:57:58:a6:5d:01:00:c1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1a,00:01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,registeredMME,-1,-1,-1,0,-1,-1,rrcConnectionSetupComplete,rrcConnectionSetupComplete-r8,1,-1,-1,-1,-1,-1,UL-DCCH-Message,0,-1,-1,-1,-1,-1,True,True,True,True,-1,True,True,False,False,False,False,False,True,False,False,False,2,False,-1,400080045,26,1,0,False,-1,-1,-1,-1,False,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x754fd90f,0x41,1,13,0x00,0,-1,-1,99,True,-1
113,EMM cause,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x07,-1,-1,-1,-1,-1,-1,-1,1,-1,0,07:44:0b,0,-1,-1,-1,-1,DL-DCCH-Message,0,-1,dlInformationTransfer,dlInformationTransfer-r8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x44,0,-1,-1,0,-1,-1,3,False,-1
164,Item 0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,0,6,6,6,3,cqi-ReportConfig,0,-1,-1,defaultValue: NULL,0,DL-CCCH-Message,0,-1,-1,1,-1,-1,explicitValue,1,0,setup,3,-1,-1,0,0,4,pdsch-ConfigDedicated,3,2,1,physicalConfigDedicated,0,3,pucch-ConfigDedicated,pusch-ConfigDedicated,radioResourceConfigDedicated,-1,release: NULL,0,1,0,rrcConnectionSetup,rrcConnectionSetup-r8,-1,-1,-1,1,SRB-ToAddMod,1,7,False,-1,-1,ul-SCH-Config,-1,-1,uplinkPowerControlDedicated,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,False,-1,False,1
165,EPS mobile identity,-1,001011234567895,-1,-1,001011234567895,001,011,-1,-1,-1,-1,-1,-1,-1,0x07,8,-1,-1,-1,-1,-1,-1,4,-1,0,07:41:72:08:09:10:10:21:43:65:87:59:04:f0:70:c0:40:00:2a:02:03:d0:31:d1:27:23:80:80:21:10:01:00:00:10:81:06:00:00:00:00:83:06:00:00:00:00:00:0d:00:00:03:00:00:0a:00:00:05:00:00:10:00:5c:0a:00:31:03:e5:e0:34:90:11:03:57:58:a6:5d:01:00:c1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,rrcConnectionSetupComplete,rrcConnectionSetupComplete-r8,1,-1,-1,-1,-1,-1,UL-DCCH-Message,0,-1,-1,-1,-1,-1,True,True,True,True,-1,True,True,False,False,False,False,False,True,False,False,False,2,False,-1,-1,-1,-1,7,True,-1,-1,-1,-1,False,1,True,True,False,False,False,False,False,-1,-1,-1,0x41,0,-1,0x00,0,-1,-1,79,False,-1
166,Authentication Parameter RAND - EPS challenge,-1,-1,-1,-1,-1,-1,-1,bb:b5:5f:2a:53:6a:80:00:84:50:89:a1:27:ca:07:97,80:00,84:50:89:a1:27:ca:07:97,bb:b5:5f:2a:53:6a,81:90:1a:67:e6:e3:b8:05:e9:63:df:4d:9c:91:a0:2a,-1,-1,0x07,16,-1,-1,-1,-1,-1,-1,1,-1,0,07:52:00:81:90:1a:67:e6:e3:b8:05:e9:63:df:4d:9c:91:a0:2a:10:bb:b5:5f:2a:53:6a:80:00:84:50:89:a1:27:ca:07:97,0,-1,-1,-1,-1,DL-DCCH-Message,0,-1,dlInformationTransfer,dlInformationTransfer-r8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x52,0,-1,-1,0,-1,-1,36,False,-1
168,Authentication response parameter,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x07,8,-1,-1,-1,-1,-1,-1,9,-1,0,07:53:08:65:ca:0f:99:a9:4d:7f:47,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,UL-DCCH-Message,0,-1,ulInformationTransfer,ulInformationTransfer-r8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65:ca:0f:99:a9:4d:7f:47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x53,0,-1,-1,0,-1,-1,11,False,-1
206,Item 0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,0,6,6,6,3,cqi-ReportConfig,0,-1,-1,defaultValue: NULL,0,DL-CCCH-Message,0,-1,-1,1,-1,-1,explicitValue,1,0,setup,3,-1,-1,0,0,4,pdsch-ConfigDedicated,3,2,1,physicalConfigDedicated,0,3,pucch-ConfigDedicated,pusch-ConfigDedicated,radioResourceConfigDedicated,-1,release: NULL,0,1,0,rrcConnectionSetup,rrcConnectionSetup-r8,-1,-1,-1,1,SRB-ToAddMod,1,7,False,-1,-1,ul-SCH-Config,-1,-1,uplinkPowerControlDedicated,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,False,-1,False,1
207,EPS mobile identity,-1,001011234567895,-1,-1,001011234567895,001,011,-1,-1,-1,-1,-1,-1,-1,0x07,8,-1,-1,-1,-1,-1,-1,4,-1,0,07:41:72:08:09:10:10:21:43:65:87:59:04:f0:70:c0:40:00:2a:02:04:d0:31:d1:27:23:80:80:21:10:01:00:00:10:81:06:00:00:00:00:83:06:00:00:00:00:00:0d:00:00:03:00:00:0a:00:00:05:00:00:10:00:5c:0a:00:31:03:e5:e0:34:90:11:03:57:58:a6:5d:01:00:c1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,rrcConnectionSetupComplete,rrcConnectionSetupComplete-r8,1,-1,-1,-1,-1,-1,UL-DCCH-Message,0,-1,-1,-1,-1,-1,True,True,True,True,-1,True,True,False,False,False,False,False,True,False,False,False,2,False,-1,-1,-1,-1,7,True,-1,-1,-1,-1,False,1,True,True,False,False,False,False,False,-1,-1,-1,0x41,0,-1,0x00,0,-1,-1,79,False,-1
208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x07,-1,-1,-1,-1,-1,-1,-1,1,-1,0,07:55:01,0,-1,-1,-1,-1,DL-DCCH-Message,0,-1,dlInformationTransfer,dlInformationTransfer-r8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x55,0,-1,-1,0,-1,-1,3,False,-1
