packet_number,lte_rrc.nas_eps_emm_cause,lte_rrc.nas_eps_emm_eps_att_type,lte_rrc.nas_eps_emm_id_type2,lte_rrc.nas_eps_emm_m_tmsi,lte_rrc.nas_eps_emm_mme_code,lte_rrc.nas_eps_emm_mme_grp_id,lte_rrc.nas_eps_emm_nas_key_set_id,lte_rrc.nas_eps_emm_odd_even,lte_rrc.nas_eps_emm_res,lte_rrc.nas_eps_emm_spare_half_octet,lte_rrc.nas_eps_emm_toc,lte_rrc.nas_eps_emm_toi,lte_rrc.nas_eps_emm_tsc,lte_rrc.nas_eps_emm_type_of_id,lte_rrc.nas_eps_msg_auth_code,lte_rrc.nas_eps_nas_msg_emm_type,lte_rrc.nas_eps_security_header_type,lte_rrc.nas_eps_seq_no,lte_rrc.nas_eps_spare_bits
112,-1,2,-1,400080045,26,1,0,False,-1,-1,-1,-1,False,6,0x754fd90f,0x41,1,13,0x00
113,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x44,0,-1,-1
165,-1,2,-1,-1,-1,-1,7,True,-1,-1,-1,-1,False,1,-1,0x41,0,-1,0x00
166,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,False,-1,-1,0x52,0,-1,-1
168,-1,-1,-1,-1,-1,-1,-1,-1,65:ca:0f:99:a9:4d:7f:47,-1,-1,-1,-1,-1,-1,0x53,0,-1,-1
207,-1,2,-1,-1,-1,-1,7,True,-1,-1,-1,-1,False,1,-1,0x41,0,-1,0x00
208,-1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0x55,0,-1,-1
209,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x56,0,-1,-1
210,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x44,0,-1,-1
259,-1,2,-1,-1,-1,-1,7,True,-1,-1,-1,-1,False,1,-1,0x41,0,-1,0x00
260,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,False,-1,-1,0x52,0,-1,-1
261,-1,-1,-1,-1,-1,-1,-1,-1,80:17:71:a0:4b:72:c4:8d,-1,-1,-1,-1,-1,-1,0x53,0,-1,-1
304,-1,2,-1,-1,-1,-1,7,True,-1,-1,-1,-1,False,1,-1,0x41,0,-1,0x00
305,-1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0x55,0,-1,-1
306,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x56,0,-1,-1
307,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x44,0,-1,-1
346,-1,2,-1,-1,-1,-1,7,True,-1,-1,-1,-1,False,1,-1,0x41,0,-1,0x00
389,-1,2,-1,-1,-1,-1,7,True,-1,-1,-1,-1,False,1,-1,0x41,0,-1,0x00
390,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,False,-1,-1,0x52,0,-1,-1
391,-1,-1,-1,-1,-1,-1,-1,-1,c9:bc:d4:d3:8b:d3:0d:45,-1,-1,-1,-1,-1,-1,0x53,0,-1,-1
393,-1,-1,-1,-1,-1,-1,0,-1,-1,0,1,1,False,-1,0xa5f547e4,0x5d,3,0,0x00
394,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0xe07b4a56,-1,4,0,-1
395,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x44,0,-1,-1
435,-1,2,-1,-1,-1,-1,0,True,-1,-1,-1,-1,False,1,0x3b35eb5d,0x41,1,1,0x00
475,-1,2,-1,-1,-1,-1,0,True,-1,-1,-1,-1,False,1,0xfff083f9,0x41,1,2,0x00
476,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x44,0,-1,-1
