packet_number,lte_rrc.3gpp_tmsi,lte_rrc.e212_assoc_imsi,lte_rrc.e212_imsi,lte_rrc.gsm_a_dtap_autn,lte_rrc.gsm_a_dtap_autn_amf,lte_rrc.gsm_a_dtap_autn_mac,lte_rrc.gsm_a_dtap_autn_sqn_xor_ak,lte_rrc.gsm_a_dtap_rand,lte_rrc.gsm_a_id_dig_1,lte_rrc.gsm_a_ie_mobileid_type,lte_rrc.gsm_a_l3_protocol_discriminator,lte_rrc.gsm_a_len,lte_rrc.gsm_a_oddevenind,lte_rrc.lte_rrc_systemtimeinfo_element,lte_rrc.nas_eps_ciphered_msg,lte_rrc.nas_eps_emm_128eea1,lte_rrc.nas_eps_emm_128eea2,lte_rrc.nas_eps_emm_128eia1,lte_rrc.nas_eps_emm_128eia2,lte_rrc.nas_eps_emm_cause,lte_rrc.nas_eps_emm_eea0,lte_rrc.nas_eps_emm_eea3,lte_rrc.nas_eps_emm_eea4,lte_rrc.nas_eps_emm_eea5,lte_rrc.nas_eps_emm_eea6,lte_rrc.nas_eps_emm_eea7,lte_rrc.nas_eps_emm_eia0,lte_rrc.nas_eps_emm_eia3,lte_rrc.nas_eps_emm_eia4,lte_rrc.nas_eps_emm_eia5,lte_rrc.nas_eps_emm_eia6,lte_rrc.nas_eps_emm_eps_att_type,lte_rrc.nas_eps_emm_eps_upip,lte_rrc.nas_eps_emm_id_type2,lte_rrc.nas_eps_emm_m_tmsi,lte_rrc.nas_eps_emm_mme_code,lte_rrc.nas_eps_emm_mme_grp_id,lte_rrc.nas_eps_emm_nas_key_set_id,lte_rrc.nas_eps_emm_odd_even,lte_rrc.nas_eps_emm_res,lte_rrc.nas_eps_emm_spare_half_octet,lte_rrc.nas_eps_emm_toc,lte_rrc.nas_eps_emm_toi,lte_rrc.nas_eps_emm_tsc,lte_rrc.nas_eps_emm_type_of_id,lte_rrc.nas_eps_emm_uea0,lte_rrc.nas_eps_emm_uea1,lte_rrc.nas_eps_emm_uea2,lte_rrc.nas_eps_emm_uea3,lte_rrc.nas_eps_emm_uea4,lte_rrc.nas_eps_emm_uea5,lte_rrc.nas_eps_emm_uea6,lte_rrc.nas_eps_emm_uea7,lte_rrc.nas_eps_emm_uia1,lte_rrc.nas_eps_msg_auth_code,lte_rrc.nas_eps_nas_msg_emm_type,lte_rrc.nas_eps_security_header_type,lte_rrc.nas_eps_seq_no,lte_rrc.nas_eps_spare_bits
69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,systemTimeInfo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
112,400080045,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x07,11,-1,-1,-1,True,True,True,True,-1,True,True,False,False,False,False,False,True,False,False,False,2,False,-1,400080045,26,1,0,False,-1,-1,-1,-1,False,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x754fd90f,0x41,1,13,0x00
113,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x07,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x44,0,-1,-1
165,-1,001011234567895,001011234567895,-1,-1,-1,-1,-1,-1,-1,0x07,8,-1,-1,-1,True,True,True,True,-1,True,True,False,False,False,False,False,True,False,False,False,2,False,-1,-1,-1,-1,7,True,-1,-1,-1,-1,False,1,True,True,False,False,False,False,False,-1,-1,-1,0x41,0,-1,0x00
166,-1,-1,-1,bb:b5:5f:2a:53:6a:80:00:84:50:89:a1:27:ca:07:97,80:00,84:50:89:a1:27:ca:07:97,bb:b5:5f:2a:53:6a,81:90:1a:67:e6:e3:b8:05:e9:63:df:4d:9c:91:a0:2a,-1,-1,0x07,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x52,0,-1,-1
168,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x07,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65:ca:0f:99:a9:4d:7f:47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x53,0,-1,-1
207,-1,001011234567895,001011234567895,-1,-1,-1,-1,-1,-1,-1,0x07,8,-1,-1,-1,True,True,True,True,-1,True,True,False,False,False,False,False,True,False,False,False,2,False,-1,-1,-1,-1,7,True,-1,-1,-1,-1,False,1,True,True,False,False,False,False,False,-1,-1,-1,0x41,0,-1,0x00
208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x55,0,-1,-1
209,-1,001011234567895,001011234567895,-1,-1,-1,-1,-1,0,1,0x07,8,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x56,0,-1,-1
210,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x07,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x44,0,-1,-1
259,-1,001011234567895,001011234567895,-1,-1,-1,-1,-1,-1,-1,0x07,8,-1,-1,-1,True,True,True,True,-1,True,True,False,False,False,False,False,True,False,False,False,2,False,-1,-1,-1,-1,7,True,-1,-1,-1,-1,False,1,True,True,False,False,False,False,False,-1,-1,-1,0x41,0,-1,0x00
260,-1,-1,-1,70:de:b6:bb:94:8d:80:00:d4:2a:fc:a8:32:1a:8c:4c,80:00,d4:2a:fc:a8:32:1a:8c:4c,70:de:b6:bb:94:8d,49:d9:78:ab:c1:35:d7:0c:12:1f:01:67:e1:f3:34:72,-1,-1,0x07,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x52,0,-1,-1
261,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x07,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80:17:71:a0:4b:72:c4:8d,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x53,0,-1,-1
304,-1,001011234567895,001011234567895,-1,-1,-1,-1,-1,-1,-1,0x07,8,-1,-1,-1,True,True,True,True,-1,True,True,False,False,False,False,False,True,False,False,False,2,False,-1,-1,-1,-1,7,True,-1,-1,-1,-1,False,1,True,True,False,False,False,False,False,-1,-1,-1,0x41,0,-1,0x00
